name,name_en,category,website,address,city,geometry,info,info_en,email,phone
Bellies,,food,http://bellies.no/,Støperigata 6,4014 Stavanger,"5.75198501964681,58.9713281198686",,,,
Verkstedet Sølvberget,,tools,https://www.solvberget.no/artikler/verkstedet/,Sølvberggata 2,4002 Stavanger,"5.73338332317692,58.9713151652725",,,,
Paa Hjul,,bike,https://rogaland.paahjul.no/,Haakon VII`s gate 9,4005 Stavanger,"5.72966630320553,58.9694348694086",,,,
Happy Bike Sykkel & Verksted,,bike,http://www.happybike.no/,Haugåsstubben 10,4016 Stavanger,"5.72602612883596,58.9454466309764",,,,
Bernina Sysenter,,tools,https://www.berninasysenter.no/,Bakkegata 12,4006 Stavanger,"5.7330189418521,58.9723280421538",,,,
ReTuren,,tools,https://www.dnt.no/om-dnt/dnts-arbeid/barekraft-i-dnt/returen-syverksted/Stavanger/,Olav V s gate 18,4005 Stavanger,"5.73188801886611,58.9660699499942",,,,
Byens Skomaker,,tools,https://www.byensskomaker.no/,Søregata 16,4006 Stavanger,"5.73417954448363,58.9710683746153",,,,
Svithun Husflidslag,,tools,https://husflid.no/lag/rogaland-husflidslag/svithun-husflidslag/,Nedre Lagårdsvei 2,4010 Stavanger,"5.73953966524769,58.9603262865765",,,,
Ullandhaug gårdsbutikk (Ullandhaug),,food,https://www.ullandhauggardsbutikk.no/,Ullandhaugveien 150,4021 Stavanger,"5.70032753766267,58.9421641436687",,,,
Ullandhaug gårdsbutikk (sentrum),,food,https://www.ullandhauggardsbutikk.no/,Verksgata 13,4013 Stavanger,"5.73916902724446,58.9712632827884",,,,
Løvås Bruktbu,,clothes,https://www.pedersgata.no/bruktbutikk/lovas-bruktbu,Pedersgata 25,4013 Stavanger,"5.74217000494565,58.969936479535",,,,
Fretex Arkivet,,clothes,https://www.fretex.no/handle/finn-butikk/fretex-arkivet-breigata/,Breigata 20,4005 Stavanger,"5.73434571344958,58.9726543660375",,,,
Mostun frøbibliotek,,events,https://www.facebook.com/groups/3888448907921230/,Henrik Ibsens gate 59,4021 Stavanger,"5.702011681718555,58.95605067572849",,,,
